epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6086,0.69084,3.29684,1.09537,0.00341,1,0.241,0.19092,0.35761,3.47784,0.88071,4.287e-05,4.287e-05,4.287e-05
2,84.8884,0.59324,3.12975,1.00466,0.00335,1,0.65459,0.62397,0.27692,3.40937,0.82687,9.90397e-05,9.90397e-05,9.90397e-05
3,119.422,0.54316,2.539,0.98939,0.00336,1,0.74117,0.67825,0.3095,3.24944,0.81004,0.000154078,0.000154078,0.000154078
4,163.259,0.59624,1.96142,1.01451,0.0035,1,0.92167,0.86216,0.36346,2.87589,0.82207,0.000207984,0.000207984,0.000207984
5,204.792,0.60506,1.73736,1.05898,0.97198,0.57187,0.92167,0.85831,0.36493,2.78516,0.83861,0.000260758,0.000260758,0.000260758
6,237.273,0.58861,1.51266,0.96941,1,0.59224,0.86667,0.82258,0.3429,2.8212,0.84058,0.000312401,0.000312401,0.000312401
7,271.205,0.65347,1.62479,1.00737,0.00339,1,0.86929,0.79118,0.45584,2.95695,0.87683,0.000362912,0.000362912,0.000362912
8,300.393,0.56876,1.29881,0.96072,0.00336,1,0.93214,0.85228,0.52708,3.03301,0.88848,0.000412291,0.000412291,0.000412291
9,327.69,0.56313,1.312,0.94699,0.00336,1,0.94,0.86483,0.46442,2.96023,0.90305,0.000460538,0.000460538,0.000460538
10,359.339,0.59887,1.29694,0.96791,0.9725,0.58346,0.9675,0.89233,0.42459,2.83669,0.91464,0.000507654,0.000507654,0.000507654
11,392.851,0.67336,1.31806,1.00173,1,0.58888,0.995,0.87383,0.63451,2.93947,0.96146,0.000553637,0.000553637,0.000553637
12,428.966,0.65636,1.29355,1.01558,1,0.84441,0.995,0.84067,0.65759,2.72295,0.92093,0.000598489,0.000598489,0.000598489
13,459.66,0.74647,1.31472,1.05596,0.90061,0.92943,0.995,0.88839,0.53509,2.5064,0.88576,0.00064221,0.00064221,0.00064221
14,488.429,0.62407,1.29113,1.01623,0.89743,0.92626,0.995,0.89217,0.52317,2.40695,0.8924,0.000684798,0.000684798,0.000684798
15,516.588,0.58111,1.25578,1.00387,0.88163,0.92374,0.995,0.87744,0.53063,2.09096,0.89421,0.000726255,0.000726255,0.000726255
16,545.923,0.61366,1.2104,0.9929,0.89297,0.94845,0.995,0.91508,0.51908,1.88794,0.87435,0.00076658,0.00076658,0.00076658
17,581.577,0.60856,1.08707,0.9791,0.9214,0.97664,0.995,0.90125,0.44776,1.65796,0.85715,0.000805773,0.000805773,0.000805773
18,616.619,0.61525,1.12787,1.02619,0.94034,0.94901,0.995,0.91789,0.39327,1.47599,0.85094,0.000843835,0.000843835,0.000843835
19,653.451,0.68483,1.17756,1.07352,0.92353,0.94059,0.995,0.92533,0.42217,1.51005,0.85626,0.000880764,0.000880764,0.000880764
20,685.362,0.62743,1.25694,1.00762,0.84831,0.97499,0.995,0.89217,0.48451,1.60558,0.8842,0.000916562,0.000916562,0.000916562
21,713.985,0.68218,1.26734,1.07195,0.95672,0.88671,0.9675,0.88853,0.47179,1.49002,0.92153,0.000951228,0.000951228,0.000951228
22,745.094,0.65404,1.23076,1.06603,0.96442,0.88889,0.9675,0.84562,0.55015,1.31572,0.94001,0.000984762,0.000984762,0.000984762
23,782.677,0.6241,1.1323,1.00938,0.95412,0.88546,0.9675,0.83433,0.59159,1.39386,0.98842,0.00101717,0.00101717,0.00101717
24,818.641,0.63166,1.1291,0.95743,0.96675,0.86957,0.94,0.85623,0.51484,1.40579,0.92288,0.00104844,0.00104844,0.00104844
25,852.969,0.61296,1.12959,0.98026,0.93113,0.88889,0.9675,0.83902,0.5237,1.51457,0.89327,0.00107857,0.00107857,0.00107857
26,884.362,0.69051,1.15871,1.06534,0.86526,0.98876,0.9675,0.85147,0.53623,1.43836,0.88307,0.00107532,0.00107532,0.00107532
27,915.007,0.65441,1.09708,1.01547,0.85561,1,0.9675,0.84229,0.61652,1.3293,0.93883,0.00106118,0.00106118,0.00106118
28,944.952,0.62177,0.95885,0.98572,0.85527,1,0.9675,0.82995,0.70139,1.23188,1.02867,0.00104703,0.00104703,0.00104703
29,977.548,0.59585,0.99873,0.97576,0.84799,1,0.9675,0.82131,0.64189,1.22708,1.00884,0.00103288,0.00103288,0.00103288
